Fiscal Year,Fund,Department,Class ID,Class,Total
2014,General Fund,Art Museum,500,"Contributions, Indemnities, Refds, Taxes",2550000.00
2014,General Fund,Atwater Kent Museum,100,Personal Services,227307.26
2014,General Fund,Atwater Kent Museum,500,"Contributions, Indemnities, Refds, Taxes",50000.00
2014,General Fund,Auditing,100,Personal Services,7070172.54
2014,General Fund,Auditing,200,Purchase of Services,403693.26
2014,General Fund,Auditing,300,Materials and Supplies,-16123.54
2014,General Fund,Auditing,400,Equipment,3344.24
2014,General Fund,Board of Ethics,100,Personal Services,741674.19
2014,General Fund,Board of Ethics,200,Purchase of Services,19279.84
2014,General Fund,Board of Ethics,300,Materials and Supplies,5148.50
2014,General Fund,Board of Ethics,400,Equipment,1803.94
2014,General Fund,Board of Revision of Taxes,100,Personal Services,1015351.31
2014,General Fund,Board of Revision of Taxes,200,Purchase of Services,23465.98
2014,General Fund,Board of Revision of Taxes,300,Materials and Supplies,8835.85
2014,General Fund,Board of Revision of Taxes,400,Equipment,5694.02
2014,General Fund,City Commissioners,100,Personal Services,4822173.63
2014,General Fund,City Commissioners,200,Purchase of Services,3323350.00
2014,General Fund,City Commissioners,300,Materials and Supplies,489820.92
2014,General Fund,City Commissioners,400,Equipment,51792.90
2014,General Fund,City Council,100,Personal Services,11997587.91
2014,General Fund,City Council,200,Purchase of Services,2141688.64
2014,General Fund,City Council,300,Materials and Supplies,249034.11
2014,General Fund,City Council,400,Equipment,30366.57
2014,General Fund,City Planning Commission,100,Personal Services,2192555.94
2014,General Fund,City Planning Commission,200,Purchase of Services,72118.11
2014,General Fund,City Planning Commission,300,Materials and Supplies,12211.69
2014,General Fund,City Planning Commission,400,Equipment,25192.11
2014,General Fund,City Representative,100,Personal Services,400498.75
2014,General Fund,City Representative,200,Purchase of Services,515448.92
2014,General Fund,City Representative,300,Materials and Supplies,48879.72
2014,General Fund,City Representative,400,Equipment,5119.93
2014,General Fund,City Treasurer,100,Personal Services,785368.29
2014,General Fund,City Treasurer,200,Purchase of Services,93707.09
2014,General Fund,City Treasurer,300,Materials and Supplies,10596.69
2014,General Fund,City Treasurer,400,Equipment,4471.00
2014,General Fund,Civil Service Commission,100,Personal Services,146586.46
2014,General Fund,Civil Service Commission,200,Purchase of Services,29500.00
2014,General Fund,Civil Service Commission,300,Materials and Supplies,293.95
2014,General Fund,Commerce,100,Personal Services,1837393.05
2014,General Fund,Commerce,200,Purchase of Services,333199.35
2014,General Fund,Commerce,300,Materials and Supplies,11649.33
2014,General Fund,Commerce,400,Equipment,14933.99
2014,General Fund,Commerce,500,"Contributions, Indemnities, Refds, Taxes",500000.00
2014,General Fund,Commerce - Convention Center Subsidy,200,Purchase of Services,15000000.00
2014,General Fund,Commerce - Economic Stimulus,200,Purchase of Services,1294448.00
2014,General Fund,District Attorney,100,Personal Services,30244297.75
2014,General Fund,District Attorney,200,Purchase of Services,1870510.47
2014,General Fund,District Attorney,300,Materials and Supplies,403495.28
2014,General Fund,District Attorney,400,Equipment,98617.18
2014,General Fund,Finance,100,Personal Services,9839564.13
2014,General Fund,Finance,200,Purchase of Services,5104907.30
2014,General Fund,Finance,300,Materials and Supplies,68093.80
2014,General Fund,Finance,400,Equipment,39257.16
2014,General Fund,Finance,500,"Contributions, Indemnities, Refds, Taxes",4156347.76
2014,General Fund,Finance - Community College Subsidy,500,"Contributions, Indemnities, Refds, Taxes",26409207.00
2014,General Fund,Finance - Employee Benefits,100,Personal Services,1194090201.86
2014,General Fund,Finance - Hero Scholarship Awards,500,"Contributions, Indemnities, Refds, Taxes",18000.00
2014,General Fund,Finance - Indemnities,500,"Contributions, Indemnities, Refds, Taxes",27189683.00
2014,General Fund,Finance - Refunds,500,"Contributions, Indemnities, Refds, Taxes",100000.43
2014,General Fund,Finance - School District Contribution,500,"Contributions, Indemnities, Refds, Taxes",114050100.00
2014,General Fund,Finance - Witness Fees,200,Purchase of Services,101452.18
2014,General Fund,Fire,100,Personal Services,223368941.12
2014,General Fund,Fire,200,Purchase of Services,4912682.89
2014,General Fund,Fire,300,Materials and Supplies,8206391.22
2014,General Fund,Fire,400,Equipment,3211402.26
2014,General Fund,Fire,800,Payments to Other Funds,7874000.00
2014,General Fund,First Judicial District,100,Personal Services,90888685.44
2014,General Fund,First Judicial District,200,Purchase of Services,15796659.02
2014,General Fund,First Judicial District,300,Materials and Supplies,1620804.08
2014,General Fund,First Judicial District,400,Equipment,270924.00
2014,General Fund,Fleet Management,100,Personal Services,15840304.45
